,beds,baths,size,zip_code,price
0,3,2.5,2590,98144,795000
1,4,2.0,2240,98106,915000
2,4,3.0,2040,98107,950000
3,4,3.0,3800,98199,1950000
4,2,2.0,1042,98102,950000
5,2,2.0,1190,98107,740000
6,1,1.0,670,98133,460000
7,5,3.5,4510,98105,3150000
8,3,2.5,1520,98108,565000
9,4,2.0,2340,98178,699000
10,3,2.0,1320,98103,899000
11,3,2.0,1800,98177,1050000
12,3,2.5,2490,98103,935625
13,4,3.0,2650,98115,1511000
14,5,1.5,2560,98199,1330000
15,2,1.5,900,98133,549755
16,3,3.5,1360,98103,700000
17,1,1.0,550,98122,330000
18,3,2.5,2974,98119,1750000
19,4,3.5,1989,98117,980000
20,2,2.0,1332,98199,845000
21,4,3.0,2668,98116,1213000
22,2,1.0,770,98133,530000
23,3,1.5,1280,98146,625000
24,5,3.5,3200,98133,1275000
25,2,1.5,889,98103,680000
26,1,1.0,508,98109,325000
27,3,2.0,3140,98117,1219700
28,4,2.0,2000,98125,907200
29,1,1.0,792,98101,517000
30,3,2.5,1690,98108,760000
31,4,5.5,3000,98126,1484000
32,3,3.0,1550,98115,950000
33,2,2.0,871,98119,430000
34,4,1.5,1940,98118,520000
35,1,1.0,474,98101,335000
36,3,2.0,1770,98146,805000
37,5,5.0,2510,98133,1000000
38,1,1.0,750,98199,375000
39,1,1.0,573,98102,390000
40,3,2.5,1500,98103,1070000
41,5,4.0,2920,98133,948000
42,3,2.0,2817,98103,912000
43,1,1.0,617,98109,480000
44,2,2.0,1280,98112,776000
45,2,2.0,1523,98121,1395000
46,2,1.0,1240,98126,750000
47,4,2.5,2280,98106,1065000
48,5,3.5,3590,98136,2350000
49,4,3.5,2478,98115,1580000
50,3,3.0,2360,98117,1775000
51,2,1.0,720,98177,600000
52,3,2.0,2480,98126,800000
53,3,2.0,1550,98199,1100000
54,2,1.0,780,98103,750000
55,5,3.0,2820,98136,865000
56,5,3.0,2900,98112,1450000
57,2,2.0,1092,98122,829000
58,3,2.0,1731,98125,575000
59,3,2.5,1500,98105,860000
60,2,2.5,1344,98122,770000
61,4,5.5,4040,98105,5495000
62,5,3.0,2320,98168,560000
63,5,3.0,2820,98136,900000
64,3,1.0,1070,98117,575000
65,2,1.0,1113,98102,595000
66,4,2.0,2100,98117,950000
67,3,2.5,2620,98119,1300000
68,3,2.0,1270,98103,727000
69,3,2.0,2702,98103,1605000
70,4,3.5,2031,98117,1480000
71,3,2.0,2350,98178,888000
72,4,1.5,2640,98115,1850000
73,3,1.5,1340,98106,615000
74,6,3.5,8660,98102,4100000
75,2,2.5,1365,98118,525000
76,1,1.0,635,98104,509950
77,3,1.0,1800,98168,549000
78,2,1.0,870,98118,555000
79,3,3.5,1510,98103,660000
80,3,1.0,1120,98106,615000
81,4,2.5,2580,98146,1635000
82,2,2.0,875,98115,420000
83,3,4.0,2220,98109,1650000
84,1,1.0,607,98119,427000
85,3,2.0,1496,98144,910000
86,4,3.5,2670,98118,1022700
87,2,1.5,1810,98115,925000
88,1,1.0,582,98109,360000
89,2,2.0,1006,98121,928000
90,3,5.5,1530,98103,635000
91,2,1.0,820,98118,490000
92,3,2.0,1960,98105,950000
93,4,3.0,2110,98133,760000
94,4,3.5,3010,98106,985000
95,3,1.0,2200,98105,1250000
96,3,2.5,1820,98118,690000
97,4,4.0,3040,98119,1585000
98,3,2.0,1800,98118,936000
99,1,1.0,800,98122,450000
100,3,3.0,1450,98117,750000
101,1,1.0,756,98121,550000
102,1,1.0,742,98126,354000
103,4,2.0,2400,98119,1385000
104,2,2.0,1607,98101,1865000
105,4,3.5,3057,98117,1800000
106,1,1.0,649,98105,346600
107,4,4.0,3142,98119,1600000
108,3,1.0,1050,98106,399950
109,3,2.0,1720,98199,855000
110,3,3.5,2650,98136,1095000
111,2,1.5,2680,98102,1125000
112,4,2.5,2550,98115,1560000
113,9,4.0,3800,98116,1343000
114,2,2.0,1320,98125,525000
115,4,2.0,1910,98168,630000
116,2,1.0,773,98133,360000
117,1,1.0,589,98121,375000
118,1,1.0,510,98102,302500
119,4,3.5,2661,98108,1165000
120,2,2.0,843,98103,346250
121,4,3.0,2250,98115,1150000
122,4,1.5,2080,98116,950000
123,3,3.5,1370,98117,699500
124,1,1.0,699,98115,335000
125,2,3.0,1840,98125,800000
126,4,3.5,3040,98177,1495000
127,2,1.0,858,98144,500000
128,5,8.5,3110,98115,1606500
129,2,2.0,1147,98115,749950
130,2,1.0,868,98144,415000
131,2,2.5,1538,98105,895000
132,2,1.0,1480,98126,720000
133,2,2.0,932,98103,435000
134,2,2.0,981,98133,450000
135,2,2.0,866,98107,555000
136,4,3.5,2000,98115,870000
137,3,3.5,1470,98117,845000
138,2,2.0,1840,98122,1200000
139,4,2.0,2230,98125,925000
140,2,1.5,1290,98115,795000
141,3,2.5,1670,98178,600000
142,1,1.0,630,98146,459000
143,3,2.0,1880,98144,911000
144,2,2.0,1188,98102,1350000
145,2,1.5,1300,98133,570288
146,1,1.0,857,98121,529000
147,2,2.0,1071,98119,605000
148,5,4.0,2810,98103,1295000
149,4,2.5,2400,98109,1595000
150,3,3.5,1670,98178,600000
151,3,2.5,2734,98109,1605200
152,3,2.5,1670,98117,865000
153,3,3.0,1530,98126,745000
154,4,1.0,1720,98122,543750
155,3,1.0,1200,98105,1099950
156,5,3.0,2030,98144,905000
157,3,2.0,2370,98126,1200000
158,3,1.5,1720,98117,825000
159,1,1.0,813,98121,680000
160,3,2.0,1590,98106,720000
161,1,1.0,626,98122,389200
162,2,1.0,840,98108,489000
163,2,2.0,1030,98122,575000
164,5,2.5,2870,98168,520000
165,1,1.0,792,98121,675000
166,2,1.5,994,98106,580000
167,3,2.0,1630,98168,630000
168,3,1.5,1172,98122,685000
169,3,2.0,1806,98126,799000
170,4,2.5,3060,98115,1450000
171,5,3.5,3820,98118,1350000
172,2,2.0,1328,98104,510000
173,3,2.5,2350,98115,1582800
174,3,2.5,2080,98117,977000
175,3,1.0,1000,98118,710000
176,2,1.5,1131,98144,685000
177,4,3.0,2230,98178,1205000
178,5,3.0,3130,98122,2095000
179,5,3.0,3750,98107,1580000
180,2,2.0,1080,98144,450000
181,2,2.0,1720,98116,985000
182,1,1.0,854,98107,455000
183,3,2.0,1286,98136,738000
184,2,1.5,1230,98122,650000
185,2,1.0,1422,98117,715000
186,4,3.5,3956,98125,3200000
187,6,5.0,3620,98119,1420000
188,3,1.5,1370,98178,659950
189,1,1.0,700,98144,325100
190,2,3.0,1824,98101,2458000
191,1,1.0,956,98104,870000
192,4,2.0,2370,98115,1350000
193,4,2.5,2200,98106,825000
194,6,3.0,3020,98178,775000
195,5,3.0,3400,98168,756500
196,3,1.0,1660,98115,749900
197,4,2.0,2080,98178,675000
198,2,1.5,917,98103,625000
199,2,1.0,900,98126,480000
200,4,4.5,3960,98144,2485000
201,1,1.0,889,98121,723000
202,5,3.5,3310,98115,1575000
203,1,1.0,621,98133,289900
204,3,3.5,1467,98144,859990
205,4,2.0,1910,98106,685000
206,3,2.5,1563,98118,839950
207,5,3.5,3340,98106,980000
208,4,3.0,2390,98119,1300000
209,2,1.5,1131,98144,670000
210,2,2.0,1201,98103,699950
211,3,3.0,1940,98199,450000
212,1,1.0,519,98105,354000
213,2,1.0,1760,98116,715000
214,4,3.0,1680,98117,905000
215,2,2.0,1192,98103,719950
216,4,4.0,2300,98105,1440000
217,3,2.5,2304,98117,1100000
218,4,4.0,2650,98103,1000000
219,5,4.0,4210,98105,2625000
220,4,3.0,2840,98177,1350000
221,2,1.0,980,98107,863000
222,4,4.5,2440,98105,1900000
223,2,2.0,1140,98117,590000
224,4,3.5,1824,98103,1299000
225,2,2.0,1115,98121,1069000
226,4,3.0,2478,98105,2095000
227,2,2.0,1140,98133,665000
228,3,1.5,1172,98122,685000
229,2,2.0,1433,98136,750000
230,3,2.0,1520,98117,760000
231,3,2.5,1380,98106,590000
232,15,6.0,11010,98112,3700000
233,4,2.0,1750,98105,1025000
234,3,2.5,3590,98103,1725000
235,1,1.0,646,98133,332000
236,5,3.0,2040,98118,605000
237,2,2.0,1560,98115,980000
238,2,2.5,1088,98107,835000
239,2,1.0,1460,98115,400000
240,3,2.0,1380,98117,800000
241,2,1.0,1000,98116,793000
242,2,2.0,1128,98144,625000
243,1,1.0,776,98116,515000
244,3,2.5,2000,98106,799000
245,3,2.0,2029,98115,685000
246,4,5.5,2867,98115,1750000
247,4,3.0,1180,98117,956300
248,3,2.0,1920,98199,1067000
249,2,2.0,2220,98126,551000
250,2,3.0,1300,98107,780000
251,1,1.0,596,98109,445000
252,3,2.0,1460,98106,583000
253,3,2.5,2500,98117,1685000
254,3,2.5,1540,98122,852500
255,5,3.0,2550,98106,940000
256,2,2.0,1018,98199,545000
257,3,2.5,1520,98106,540700
258,1,1.0,640,98104,345000
259,4,3.0,2190,98126,860000
260,2,1.0,930,98133,620000
261,5,2.5,2900,98106,800000
262,4,3.5,2780,98112,950000
263,3,1.0,2560,98125,776000
264,1,1.0,613,98122,325000
265,3,2.5,1566,98122,875000
266,2,2.0,1245,98168,330000
267,3,2.5,1190,98144,750000
268,5,2.5,2760,98126,1025000
269,4,1.5,3260,98199,1695000
270,4,3.0,2380,98115,1399999
271,2,2.5,1884,98116,925000
272,3,2.5,1712,98117,910000
273,2,2.0,1196,98107,734999
274,3,2.0,1098,98105,864950
275,3,3.0,1250,98117,815000
276,1,1.0,880,98122,700000
277,2,1.5,822,98144,400000
278,4,2.0,1595,98118,525000
279,3,3.0,2380,98136,1230000
280,3,2.0,3190,98112,2700000
281,3,2.5,1465,98119,1175000
282,4,2.0,2910,98115,1400000
283,2,3.0,1140,98144,675000
284,1,1.0,500,98168,385000
285,3,2.0,1580,98126,942000
286,1,1.0,683,98121,601000
287,5,3.0,2430,98133,915000
288,2,2.0,1128,98136,479950
289,2,2.0,2360,98199,1460000
290,3,2.5,1396,98136,780000
291,1,1.0,615,98102,485000
292,4,2.0,2340,98115,925000
293,4,1.5,2140,98125,700500
294,4,3.0,2980,98105,1090000
295,3,1.5,1390,98168,412000
296,2,1.0,720,98106,525000
297,1,1.0,712,98133,325000
298,4,2.5,1850,98108,945000
299,3,4.5,1710,98126,725000
300,2,1.0,970,98106,386000
301,3,2.0,1606,98109,1450000
302,3,2.5,1815,98103,1295000
303,2,1.0,1120,98122,700000
304,4,2.0,2220,98177,995000
305,1,1.0,570,98116,345000
306,3,2.0,1460,98117,888000
307,5,3.0,3820,98116,1575000
308,3,3.5,2480,98119,1795000
309,5,3.0,2777,98125,1338600
310,2,2.0,1170,98144,624999
311,1,1.0,587,98125,260000
312,3,1.0,1430,98103,980000
313,2,5.5,1320,98144,679950
314,2,2.0,2170,98116,893000
315,1,1.0,635,98102,495000
316,3,1.5,1630,98115,895000
317,2,2.0,1900,98122,1310000
318,3,2.0,1760,98106,689000
319,3,2.5,1712,98107,970000
320,4,2.5,3190,98102,1820000
321,4,3.5,3590,98109,2900000
322,1,1.0,630,98133,255000
323,2,2.0,1150,98121,615000
324,5,2.0,1830,98118,665000
